real_salary,predicted_salary,residuals,season,position,team
1879000,3292030.6595472395,-1413030.6595472395,2000,Point Guard,Sacramento Kings
1836000,3165653.39504382,-1329653.3950438201,2000,Shooting Guard,Washington Wizards
1722000,3165653.39504382,-1443653.3950438201,2000,Shooting Guard,Philadelphia 76ers
1682000,3292030.6595472395,-1610030.6595472395,2000,Point Guard,Cleveland Cavaliers
1583000,3418407.924050629,-1835407.9240506291,2000,Forward,Dallas Mavericks
1546000,3165653.39504382,-1619653.3950438201,2000,Shooting Guard,Phoenix Suns
1503000,3102464.7627921104,-1599464.7627921104,2000,Small Forward,Boston Celtics
1468000,3355219.2917989492,-1887219.2917989492,2000,Guard,Atlanta Hawks
1428000,3165653.39504382,-1737653.3950438201,2000,Shooting Guard,Portland Trail Blazers
1394000,3165653.39504382,-1771653.3950438201,2000,Shooting Guard,Cleveland Cavaliers
1325000,3481596.556302339,-2156596.556302339,2000,Center,Toronto Raptors
1289000,3228842.02729553,-1939842.0272955298,2000,Power Forward,Denver Nuggets
1259000,3102464.7627921104,-1843464.7627921104,2000,Small Forward,Orlando Magic
1224000,3355219.2917989492,-2131219.2917989492,2000,Guard,Vancouver Grizzlies
1196000,3355219.2917989492,-2159219.2917989492,2000,Guard,Minnesota Timberwolves
1163000,3102464.7627921104,-1939464.7627921104,2000,Small Forward,Orlando Magic
1100000,3355219.2917989492,-2255219.2917989492,2000,Guard,Charlotte Hornets
1079000,3102464.7627921104,-2023464.7627921104,2000,Small Forward,Chicago Bulls
1050000,3481596.556302339,-2431596.556302339,2000,Center,Minnesota Timberwolves
1025000,3418407.924050629,-2393407.924050629,2000,Forward,Atlanta Hawks
974000,3102464.7627921104,-2128464.7627921104,2000,Small Forward,Denver Nuggets
952000,3228842.02729553,-2276842.02729553,2000,Power Forward,Orlando Magic
930000,3165653.39504382,-2235653.39504382,2000,Shooting Guard,Utah Jazz
914000,3418407.924050629,-2504407.924050629,2000,Forward,Atlanta Hawks
893000,3165653.39504382,-2272653.39504382,2000,Shooting Guard,Atlanta Hawks
